"","ensembl_gene_id","go_id"
"1","ENSOARG00000000072","GO:0007296"
"2","ENSOARG00000000072","GO:0060674"
"3","ENSOARG00000000072","GO:0031668"
"4","ENSOARG00000000072","GO:0001701"
"5","ENSOARG00000000072","GO:0000977"
"6","ENSOARG00000000072","GO:0006357"
"7","ENSOARG00000000072","GO:0043565"
"8","ENSOARG00000000072","GO:0006355"
"9","ENSOARG00000000072","GO:0005634"
"10","ENSOARG00000000072","GO:0003700"
"11","ENSOARG00000000072","GO:0003677"
"12","ENSOARG00000000072","GO:2000144"
"13","ENSOARG00000000072","GO:0005515"
"14","ENSOARG00000000072","GO:0005654"
"15","ENSOARG00000000130","GO:0004889"
"16","ENSOARG00000000130","GO:0005230"
"17","ENSOARG00000000130","GO:0045211"
"18","ENSOARG00000000130","GO:0045202"
"19","ENSOARG00000000130","GO:0098655"
"20","ENSOARG00000000130","GO:0030054"
"21","ENSOARG00000000130","GO:0034220"
"22","ENSOARG00000000130","GO:0006812"
"23","ENSOARG00000000130","GO:0006811"
"24","ENSOARG00000000130","GO:0006810"
"25","ENSOARG00000000130","GO:0005216"
"26","ENSOARG00000000130","GO:0005886"
"27","ENSOARG00000000130","GO:0016021"
"28","ENSOARG00000000130","GO:0016020"
"29","ENSOARG00000000130","GO:0060112"
"30","ENSOARG00000000130","GO:0001988"
"31","ENSOARG00000000130","GO:0032691"
"32","ENSOARG00000000130","GO:0042698"
"33","ENSOARG00000000130","GO:0014061"
"34","ENSOARG00000000130","GO:0048149"
"35","ENSOARG00000000130","GO:0032225"
"36","ENSOARG00000000130","GO:0035095"
"37","ENSOARG00000000130","GO:0030673"
"38","ENSOARG00000000130","GO:0032715"
"39","ENSOARG00000000130","GO:0008306"
"40","ENSOARG00000000130","GO:0050727"
"41","ENSOARG00000000130","GO:0032094"
"42","ENSOARG00000000130","GO:0030317"
"43","ENSOARG00000000130","GO:0050728"
"44","ENSOARG00000000130","GO:0045471"
"45","ENSOARG00000000130","GO:0007613"
"46","ENSOARG00000000130","GO:0042110"
"47","ENSOARG00000000130","GO:0042113"
"48","ENSOARG00000000130","GO:0006897"
