"","entrezgene","ensembl_gene_id","ensembl_transcript_id","ensembl_peptide_id"
"1",101111137,"ENSOARG00000000072","ENSOART00000000075","ENSOARP00000000050"
"2",101119927,"ENSOARG00000000123","ENSOART00000000128","ENSOARP00000000103"
"3",NA,"ENSOARG00000000130","ENSOART00000000135","ENSOARP00000000110"
"4",443139,"ENSOARG00000000158","ENSOART00000000161","ENSOARP00000000136"
"5",NA,"ENSOARG00000000217","ENSOART00000000226","ENSOARP00000000200"
"6",678677,"ENSOARG00000000229","ENSOART00000000237","ENSOARP00000000211"
"7",678677,"ENSOARG00000000229","ENSOART00000000238","ENSOARP00000000212"
"8",101102850,"ENSOARG00000000304","ENSOART00000000323","ENSOARP00000000297"
"9",101102692,"ENSOARG00000000327","ENSOART00000000354","ENSOARP00000000328"
"10",101102692,"ENSOARG00000000327","ENSOART00000000356","ENSOARP00000000330"
"11",101118986,"ENSOARG00000000345","ENSOART00000000365","ENSOARP00000000338"
"12",NA,"ENSOARG00000000348","ENSOART00000000366","ENSOARP00000000339"
"13",101117844,"ENSOARG00000000392","ENSOART00000000417","ENSOARP00000000389"
"14",101103901,"ENSOARG00000000412","ENSOART00000000449","ENSOARP00000000421"
"15",101112084,"ENSOARG00000000443","ENSOART00000000471","ENSOARP00000000443"
"16",101102163,"ENSOARG00000000461","ENSOART00000000489","ENSOARP00000000461"
"17",101120658,"ENSOARG00000000465","ENSOART00000000521","ENSOARP00000000493"
"18",101120658,"ENSOARG00000000465","ENSOART00000000531","ENSOARP00000000503"
"19",101112718,"ENSOARG00000000468","ENSOART00000000498","ENSOARP00000000470"
"20",101105339,"ENSOARG00000000468","ENSOART00000000498","ENSOARP00000000470"
"21",NA,"ENSOARG00000000484","ENSOART00000000517","ENSOARP00000000489"
"22",101109832,"ENSOARG00000000498","ENSOART00000000540","ENSOARP00000000512"
"23",101104763,"ENSOARG00000000522","ENSOART00000000557","ENSOARP00000000528"
"24",101122356,"ENSOARG00000000531","ENSOART00000000590","ENSOARP00000000560"
"25",101102951,"ENSOARG00000000549","ENSOART00000000606","ENSOARP00000000576"
"26",101102951,"ENSOARG00000000549","ENSOART00000000614","ENSOARP00000000584"
"27",101113683,"ENSOARG00000000612","ENSOART00000000654","ENSOARP00000000624"
"28",NA,"ENSOARG00000000656","ENSOART00000000703","ENSOARP00000000671"
"29",101113941,"ENSOARG00000000675","ENSOART00000000734","ENSOARP00000000702"
"30",101112788,"ENSOARG00000000684","ENSOART00000000733","ENSOARP00000000701"
"31",101112788,"ENSOARG00000000684","ENSOART00000000735","ENSOARP00000000703"
"32",101113039,"ENSOARG00000000714","ENSOART00000000765","ENSOARP00000000733"
"33",101108959,"ENSOARG00000000729","ENSOART00000000789","ENSOARP00000000757"
