"","ensembl_gene_id","go_id"
"1","ENSOARG00000000130","GO:0004889"
"2","ENSOARG00000000130","GO:0005230"
"3","ENSOARG00000000130","GO:0045211"
"4","ENSOARG00000000130","GO:0045202"
"5","ENSOARG00000000130","GO:0098655"
"6","ENSOARG00000000130","GO:0030054"
"7","ENSOARG00000000130","GO:0034220"
"8","ENSOARG00000000130","GO:0006812"
"9","ENSOARG00000000130","GO:0006811"
"10","ENSOARG00000000130","GO:0006810"
"11","ENSOARG00000000130","GO:0005216"
"12","ENSOARG00000000130","GO:0005886"
"13","ENSOARG00000000130","GO:0016021"
"14","ENSOARG00000000130","GO:0016020"
"15","ENSOARG00000000130","GO:0060112"
"16","ENSOARG00000000130","GO:0001988"
"17","ENSOARG00000000130","GO:0032691"
"18","ENSOARG00000000130","GO:0042698"
"19","ENSOARG00000000130","GO:0014061"
"20","ENSOARG00000000130","GO:0048149"
"21","ENSOARG00000000130","GO:0032225"
"22","ENSOARG00000000130","GO:0035095"
"23","ENSOARG00000000130","GO:0030673"
"24","ENSOARG00000000130","GO:0032715"
"25","ENSOARG00000000130","GO:0008306"
"26","ENSOARG00000000130","GO:0050727"
"27","ENSOARG00000000130","GO:0032094"
"28","ENSOARG00000000130","GO:0030317"
"29","ENSOARG00000000130","GO:0050728"
"30","ENSOARG00000000130","GO:0045471"
"31","ENSOARG00000000130","GO:0007613"
"32","ENSOARG00000000130","GO:0042110"
"33","ENSOARG00000000130","GO:0042113"
"34","ENSOARG00000000130","GO:0006897"
"35","ENSOARG00000000130","GO:0016324"
"36","ENSOARG00000000130","GO:0007271"
"37","ENSOARG00000000130","GO:0009897"
"38","ENSOARG00000000130","GO:0005515"
"39","ENSOARG00000000158","GO:0035645"
"40","ENSOARG00000000158","GO:0007497"
"41","ENSOARG00000000158","GO:0048484"
"42","ENSOARG00000000158","GO:0014043"
"43","ENSOARG00000000158","GO:0048066"
"44","ENSOARG00000000158","GO:0007422"
"45","ENSOARG00000000158","GO:0001755"
"46","ENSOARG00000000158","GO:0030318"
"47","ENSOARG00000000158","GO:0006885"
"48","ENSOARG00000000158","GO:0043473"
"49","ENSOARG00000000158","GO:0008217"
"50","ENSOARG00000000158","GO:0005515"
"51","ENSOARG00000000158","GO:0042310"
"52","ENSOARG00000000158","GO:0004962"
"53","ENSOARG00000000158","GO:0007186"
"54","ENSOARG00000000158","GO:0004930"
"55","ENSOARG00000000158","GO:0004871"
"56","ENSOARG00000000158","GO:0016021"
"57","ENSOARG00000000158","GO:0007165"
"58","ENSOARG00000000158","GO:0048246"
"59","ENSOARG00000000158","GO:0032269"
"60","ENSOARG00000000158","GO:0014826"
"61","ENSOARG00000000158","GO:0017046"
"62","ENSOARG00000000158","GO:0086100"
"63","ENSOARG00000000327","GO:0045995"
"64","ENSOARG00000000327","GO:0030155"
"65","ENSOARG00000000327","GO:0005515"
"66","ENSOARG00000000327","GO:0030334"
"67","ENSOARG00000000327","GO:0007155"
"68","ENSOARG00000000327","GO:0005102"
"69","ENSOARG00000000327","GO:0005608"
